Isolate	Loci0	Loci1	Loci2	Loci3	Loci4	Loci5	Loci6	Source0	Source1	Source2	Source3
0	1	2	3	4	5	9	3	-4.62409	-2.47379	-3.70485	-5.01158
1	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
2	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
3	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
4	9	25	2	10	22	3	6	-4.47481	-8.18042	-5.82118	-4.33713
5	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
6	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
7	4	7	10	4	42	51	1	-2.91885	-4.70222	-4.7548	-3.75509
8	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
9	10	81	50	99	120	76	52	-6.77714	-6.40597	-5.2911	-5.17731
10	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
11	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
12	9	25	2	10	22	3	6	-4.47481	-8.18042	-5.82118	-4.33713
13	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
14	10	27	16	19	10	5	7	-20.2169	-12.8272	-16.5978	-17.5272
15	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
16	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
17	9	2	4	62	4	5	6	-3.69905	-5.24581	-5.73337	-6.38609
18	9	53	2	53	11	3	3	-32.2002	-30.0288	-24.8642	-27.1341
19	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
20	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
21	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
22	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
23	1	4	2	2	6	3	17	-4.6209	-2.4341	-4.74074	-5.54681
24	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
25	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
26	8	10	2	2	11	12	6	-3.93709	-7.71375	-7.06928	-6.75152
27	2	4	2	2	6	1	5	-6.06877	-4.8196	-6.02562	-7.86715
28	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
29	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
30	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
31	10	1	16	19	10	5	7	-6.20315	-2.73148	-4.30579	-5.25014
32	1	2	3	4	5	9	3	-4.62409	-2.47379	-3.70485	-5.01158
33	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
34	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
35	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
36	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
37	129	66	30	82	189	47	17	-3.23679	-4.93782	-5.33347	-4.09782
38	2	1	12	3	357	1	5	-7.67119	-7.38271	-5.96435	-8.45256
39	9	2	4	62	4	5	6	-3.69905	-5.24581	-5.73337	-6.38609
40	2	1	1	3	2	1	5	-4.59465	-3.77492	-6.50616	-6.96852
41	2	1	12	3	357	1	5	-7.67119	-7.38271	-5.96435	-8.45256
42	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
43	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
44	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
45	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
46	2	4	2	2	6	1	5	-6.06877	-4.8196	-6.02562	-7.86715
47	1	4	2	2	6	3	17	-4.6209	-2.4341	-4.74074	-5.54681
48	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
49	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
50	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
51	7	17	2	15	23	3	12	-6.88405	-10.7371	-10.0167	-9.69794
52	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
53	9	2	4	62	4	5	6	-3.69905	-5.24581	-5.73337	-6.38609
54	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
55	9	2	4	62	4	5	6	-3.69905	-5.24581	-5.73337	-6.38609
56	2	1	12	88	2	1	5	-3.93255	-3.42093	-5.79122	-5.25556
57	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
58	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
59	9	2	4	62	4	5	6	-3.69905	-5.24581	-5.73337	-6.38609
60	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
61	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
62	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
63	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
64	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
65	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
66	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
67	1	2	215	4	90	24	8	-34.2464	-32.9966	-20.4616	-24.3262
68	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
69	1	2	3	4	5	9	3	-4.62409	-2.47379	-3.70485	-5.01158
70	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
71	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
72	9	25	2	10	22	3	6	-4.47481	-8.18042	-5.82118	-4.33713
73	2	15	4	48	360	25	23	-6.80936	-9.61006	-5.68146	-4.91093
74	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
75	2	1	12	88	2	1	5	-3.93255	-3.42093	-5.79122	-5.25556
76	2	4	2	2	6	1	5	-6.06877	-4.8196	-6.02562	-7.86715
77	10	1	16	19	10	5	7	-6.20315	-2.73148	-4.30579	-5.25014
78	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
79	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
80	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
81	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
82	1	4	2	2	6	3	17	-4.6209	-2.4341	-4.74074	-5.54681
83	10	1	16	19	10	5	7	-6.20315	-2.73148	-4.30579	-5.25014
84	8	10	149	2	11	12	6	-4.8584	-3.9601	-5.76053	-7.04745
85	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
86	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
87	32	39	30	82	104	324	17	-8.16429	-4.66166	-7.6992	-8.76373
88	1	2	3	4	5	9	3	-4.62409	-2.47379	-3.70485	-5.01158
89	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
90	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
91	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
92	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
93	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
94	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
95	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
96	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
97	9	2	5	2	11	3	1	-28.9404	-32.3768	-28.5885	-25.8582
98	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
99	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
100	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
101	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
102	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
103	1	4	2	2	6	3	17	-4.6209	-2.4341	-4.74074	-5.54681
104	2	4	5	2	10	1	5	-6.87544	-10.7168	-10.0041	-9.68553
105	2	1	12	88	2	1	5	-3.93255	-3.42093	-5.79122	-5.25556
106	9	2	4	62	4	5	6	-3.69905	-5.24581	-5.73337	-6.38609
107	2	165	73	147	220	190	104	-9.87183	-10.9696	-6.84802	-5.23507
108	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
109	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
110	2	1	12	3	11	1	6	-18.6061	-17.684	-20.6273	-20.55
111	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
112	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
113	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
114	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
115	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
116	33	39	30	82	113	43	17	-9.68944	-6.43647	-6.21136	-8.7868
117	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
118	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
119	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
120	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
121	4	7	10	1	1	7	1	-5.26273	-8.89968	-5.97448	-6.09158
122	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
123	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
124	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
125	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
126	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
127	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
128	2	1	12	88	2	1	5	-3.93255	-3.42093	-5.79122	-5.25556
129	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
130	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
131	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
132	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
133	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
134	2	4	5	2	2	5	5	-3.65589	-7.4841	-6.51083	-5.70175
135	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
136	1	4	2	2	6	3	1	-11.2729	-10.1352	-10.7748	-10.9557
137	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
138	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
139	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
140	8	10	2	2	11	12	6	-3.93709	-7.71375	-7.06928	-6.75152
141	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
142	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
143	2	1	2	3	2	3	5	-3.74016	-7.45072	-6.86856	-6.54643
144	129	66	30	82	189	47	17	-3.23679	-4.93782	-5.33347	-4.09782
145	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
146	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
147	7	21	5	62	4	61	44	-7.3048	-3.81505	-5.81178	-7.6195
148	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
149	2	937	1	2	2	1	5	-7.75086	-8.9459	-6.3809	-7.78407
150	1	14	2	2	6	1	17	-9.64206	-6.43449	-7.74847	-6.3201
151	1	4	2	2	6	3	17	-4.6209	-2.4341	-4.74074	-5.54681
152	8	10	149	2	11	12	6	-4.8584	-3.9601	-5.76053	-7.04745
153	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
154	9	30	2	2	89	59	6	-4.93627	-8.79073	-8.06988	-7.75074
155	1	2	3	4	5	9	3	-4.62409	-2.47379	-3.70485	-5.01158
156	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
157	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
158	180	194	2	68	19	231	147	-30.6073	-35.5494	-19.7312	-26.8024
159	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
160	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
161	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
162	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
163	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
164	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
165	2	4	1	2	7	1	5	-2.2886	-6.13443	-5.34512	-4.84472
166	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
167	10	1	16	19	10	5	7	-6.20315	-2.73148	-4.30579	-5.25014
168	104	7	10	4	1	7	1	-4.39219	-8.25272	-7.51544	-7.18522
169	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
170	10	27	16	19	10	5	7	-20.2169	-12.8272	-16.5978	-17.5272
171	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
172	2	1	1	3	2	1	5	-4.59465	-3.77492	-6.50616	-6.96852
173	7	21	5	62	4	61	44	-7.3048	-3.81505	-5.81178	-7.6195
174	2	1	1	3	2	1	5	-4.59465	-3.77492	-6.50616	-6.96852
175	10	1	16	19	10	5	7	-6.20315	-2.73148	-4.30579	-5.25014
176	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
177	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
178	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
179	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
180	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
181	1	4	2	2	6	3	17	-4.6209	-2.4341	-4.74074	-5.54681
182	2	1	12	3	2	1	5	-2.60374	-2.10669	-3.70084	-4.7113
183	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
184	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
185	2	4	1	2	2	1	5	-2.76206	-3.66646	-4.12905	-4.05765
186	2	1	21	3	2	1	5	-2.91427	-2.48092	-4.46588	-4.43396
187	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
188	4	7	10	4	42	51	1	-2.91885	-4.70222	-4.7548	-3.75509
189	2	1	5	3	2	3	5	-4.22371	-3.24096	-5.55555	-4.75543
190	1	2	4	62	4	5	17	-6.08059	-4.83452	-7.66329	-8.27755
191	4	7	10	4	1	7	1	-1.8275	-3.91372	-2.58313	-1.91473
192	4	7	10	4	42	51	1	-2.91885	-4.70222	-4.7548	-3.75509
